"","QE1-S1","QE1-S2","QE1-S3","QE1-S4","QE1-S5","QE5-M1","QE5-M2","QE5-M3","QE5-M4","QE5-M5","QE5-H1","QE5-H2","QE5-H3","QE5-H4","QE5-H5"
"107311352",64.3333,18.3333333333333,29.6666666666667,41.3333333333333,14.0000033333333,29.9999966666667,24.6666666666667,7.33333,12.33331,10.6666666666667,11.33335,26.6666666666667,146.666666666667,41,30.6666666666667
"107311329",753.5,662.5,392,639.50065,683,575.0023,921.5,800,810.99925,384.49983,885,873.4995,453.4998,731.00145,941.0003
"107311349",131,56,119,69,57,111,132,41,62,39,41,87,137,104,113
"107311338",302.122,223.142,219.834,206.243,204.326,386.237,384.361,167.637,287.714,158.735,328.524,290.825,404.509,428.404,256.535
"107310941",68,75,45,65,106,116,65,64,101,57,189,99,59,77,183
"107310944",36,30,25,20,22,42,35,26,39,16,52,37,40,34,46
"107310902",644.25,376.499325,361.749925,378.99912125,499.7490875,586.500025,697.249725,522.99955,598.50072516425,311.999925,589.24955,512.74885,710.5,657.750475,790.247775
"107311734",1.5,5.5,4.5,4,0.5,7.5,3.5,4.5,0,6,3,0.5,19.5,5,4
"107315001",0,3,1,8,0,1,7,1,1,2,6,0,3,2,7
"107314998",80.99985,92.5002,72.99985,75.5,75.49985,102.99995,115.49985,97.0001,124,63,164.50015,83.5,93.4999,133.50025,136.50024
"107315002",10.64746,1.6,9.624176,6.4342,2.8,8.2176,11.61206,5.41508,11.4441,1.602994,5.20708,8.2211,6.4085,7.442926,7.418668
"107309680",86.600092,62.600024,54.000052,60.39998,52.60001,117.199994,109.00008,96.999934,83.39996,47.000034,153.799924,53.8,129.20002,79.400088,78.000022
"107318257",14.2857114285714,17.2857214285714,12.1428671428571,11.7142771428571,18.4285714285714,28.9999285714286,27.2857028571429,14.0000028571429,24.7143171428571,17.8571485714286,24.7143328571429,17.2857142857143,16.7142857142857,17.5714285714286,20.2857171428571
"107318256",191,236,264,174,332,451,342,220,430,286,270,261,229,225,249
"107314656",5,13,11,6,4,8,5,10,9,2,5,6,4,7,4
"107314654",69.6666666666667,99.6666667316667,90.3333333381667,64,139.000095666667,186.666666666667,116,106.666666666667,256.000056666667,107.333333333333,136,119.999955333333,52.6665666666667,145.33333446,71.6666666666667
"107311639",574.668333333333,486.332333333333,399.998866666667,436.000333333333,591.998633333333,705.334566666667,720.665166666667,624.000333333333,624.332,339,680.0013,565.332666666667,633.3326,665.999033333333,999.332733333333
"107311633",136.56608,98.40108,97.35298,109.48656,108.64958,124.76718,141.412756,124.12712,131.71694,68.37304,159.78576,111.9562,146.65034,149.90034,196.465
"107311628",65.750025,38.000002925,40.75,32,25.75001925,50.000025,69.5000925,43.75,51.500025,27.000005,72.49995,45.750025,62.74995,74.99994868,58.9999
"107312519",168.500125,130.00005,112.000125,115.74995,161.750025,134.5,196.25,151.500125,153.25,97.7499987275,175.25,118.00005,189.5,205.25,258.999925
"107312520",1334,924,682,814,1186,1170,1493,1205,1135,742,1416,1368,1161,1273,1844
"107312521",187,154,154,156,180,140,266,178,210,97,197,128,137,276,271
"107312524",21608,14719,15917,15654,16293,14855,26638,21043,18589,11722,22334,17287,26152,27969,27615
"107312522",1801,1257,1134,1259,1555,1351,2365,1632,1724,922,1613,1747,1542,2174,2086
