"","QE1-S1","QE1-S2","QE1-S3","QE1-S4","QE1-S5","QE5-M1","QE5-M2","QE5-M3","QE5-M4","QE5-M5","QE5-H1","QE5-H2","QE5-H3","QE5-H4","QE5-H5"
"107307073",5.94304385974355,5.91834634828849,5.48588118311293,5.56920299876137,5.54714118616262,5.79011296548395,5.78672693991432,6.02236728135244,5.78664424082745,5.56402605677873,6.02292069166321,5.8732994278629,5.46260166577495,5.19111434152139,5.29274975589685
"107307068",1.29245891678456,1.09804696693107,-0.276274319514582,0.355651064918801,-0.211776153128632,-0.679713824515721,0.633140675286754,0.656419183892208,0.07961385320302,0.456896182072317,0.728032796359387,-0.883071565475899,0.0807470438909786,-0.225386866958069,-0.395556254693544
"107307061",2.58352268931595,2.38909328015362,2.493112752344,2.21624800825338,2.14681618478249,2.40001336795501,2.45711031119525,2.19933729031406,2.16302986139066,2.52728550996371,1.99185068483396,2.05552788985996,2.3825732843593,2.55034507491316,2.75551986595979
"107307071",2.27594988740566,2.2720538589634,2.83414967017907,2.87590787625214,2.41918845519562,2.49021117692659,2.36620181499704,2.94981769095475,2.55766115000766,2.16471543057901,2.89982154634162,2.35639436921949,2.95346059986874,2.9347745882616,2.47358150240112
"107307060",7.84925961552957,7.7880867677882,7.81167062534622,8.06373662956331,7.62023203285549,6.86155882585823,7.82376621227982,8.58090568787518,8.04016748510226,8.06422649582193,7.85122842229243,7.32908702322375,7.72363323942486,8.0338531953744,6.8589628779695
"107307063",4.21392816079828,4.20445578081259,3.27552131727138,3.0735078361373,3.74421578874187,3.51190624802591,3.94332356250102,2.9698554441913,3.76944547177813,3.3444214528139,3.45275519287014,3.69519628267125,3.63271069617866,3.58838443593233,3.62610345758198
"107307062",5.17424445932579,5.5038496906433,5.68003583013821,5.3437377433753,5.63991782730943,5.6601361783689,5.43631184852286,5.50933517511844,5.62834403676484,5.54718506740142,5.43050238602301,5.54132803700664,5.66905254324238,5.55721179440142,5.50565696856986
"107315299",-0.185864382542631,0.0919330904151986,-0.36647152255437,0.588850241211831,-0.846951861505992,0.875805463492343,0.0285493678166652,0.354730972959887,0.331152620198985,1.47283772594134,-0.18620024129641,-0.994102877864643,0.177200227259778,-0.340119972782252,-0.207954258015092
"107315708",6.10557472122168,5.95361398329608,6.98624852882039,7.31106910713307,5.89125898904061,7.43165946883013,7.37606383354332,5.69382820348163,5.39120000389037,5.78362550287382,6.63635577932036,6.00499583252703,5.62828789853918,7.73427397864604,6.08765829430206
"107325616",3.70520124590421,3.59804179142987,3.87162733496914,4.00859156673164,3.78089464115293,3.76172317574087,3.84575165521976,3.66646391465401,3.7316889103556,3.8987302003346,3.89549648742208,3.61234077164069,3.84582190864418,3.93054957932209,3.26752797002051
"107325311",10.4850654135989,10.4799274683851,10.7178862307819,10.6298759372776,10.3927083886373,10.3008801759358,10.7782466338461,10.6116705184691,10.4560493660919,10.7829510891481,10.3628318996065,10.5915920554785,10.8809093674166,11.0399632617169,10.5325660057302
